step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
71,,,,,0.0004189226310700178,0.09674141556024551,0.002627996727824211,0.002627996727824211,,,,
72,,,,,0.00040502031333744526,0.0689636617898941,0.0019266016315668821,0.0019266016315668821,,,,
73,,,,,0.00039008772000670433,0.060250937938690186,0.0017013173783198,0.0017013173783198,,,,
74,,,,,0.00043139143963344395,0.05679384991526604,0.001635541906580329,0.001635541906580329,,,,
75,,,,,0.00042170711094513535,0.05083535611629486,0.0014817374758422375,0.0014817374758422375,,,,
76,,,,,0.0003673112078104168,0.05273056402802467,0.0015019197016954422,0.0015019197016954422,,,,
77,,,,,0.00036869943141937256,0.04091878980398178,0.0012073195539414883,0.0012073195539414883,,,,
78,,,,,0.0003572835703380406,0.040856167674064636,0.0012000459246337414,0.0012000459246337414,,,,
79,,,,,0.00036012704367749393,0.04644757881760597,0.0013412530533969402,0.0013412530533969402,,,,
80,0.00010228952305624261,0.09064210951328278,0.002317197620868683,0.002317197620868683,0.00035365091753192246,0.04085835441946983,0.0011982843279838562,0.0011982843279838562,70.98302687411599,77.14285714285714,8.524642944335938,3.17764949798584
81,,,,,0.000331312941852957,0.04428728297352791,0.0012728385627269745,0.0012728385627269745,,,,
82,,,,,0.0003101009060628712,0.046929068863391876,0.0013282772852107882,0.0013282772852107882,,,,
83,,,,,0.0003517872537486255,0.0438569001853466,0.0012723160907626152,0.0012723160907626152,,,,
84,,,,,0.00033781665842980146,0.05073024332523346,0.0014371644938364625,0.0014371644938364625,,,,
85,,,,,0.0003439126012381166,0.0419868603348732,0.0012216278119012713,0.0012216278119012713,,,,
86,,,,,0.00034731902997009456,0.05020550638437271,0.0014287972589954734,0.0014287972589954734,,,,
87,,,,,0.00035753182601183653,0.05338822305202484,0.0015134714776650071,0.0015134714776650071,,,,
88,,,,,0.00034989695996046066,0.04552534222602844,0.001313081942498684,0.001313081942498684,,,,
89,,,,,0.0003888398932758719,0.045172251760959625,0.0013237262610346079,0.0013237262610346079,,,,
90,0.00010749155626399443,0.09716916084289551,0.0024829749017953873,0.0024829749017953873,0.0003502054314594716,0.042294941842556,0.001232476206496358,0.001232476206496358,58.34983498349835,61.42857142857143,12.186292565387228,4.484772872924805
91,,,,,0.00035036198096349835,0.047283366322517395,0.0013572652824223042,0.0013572652824223042,,,,
92,,,,,0.00036731286672875285,0.03692499175667763,0.0011067811865359545,0.0011067811865359545,,,,
93,,,,,0.0003193188167642802,0.04134488105773926,0.0011932814959436655,0.0011932814959436655,,,,
94,,,,,0.00031311955535784364,0.041168179363012314,0.0011857643257826567,0.0011857643257826567,,,,
95,,,,,0.0003131046541966498,0.0436442494392395,0.0012476586271077394,0.0012476586271077394,,,,
96,,,,,0.0003365175216458738,0.04593456909060478,0.0013166230637580156,0.0013166230637580156,,,,
97,,,,,0.000339594145771116,0.05004137009382248,0.0014208313077688217,0.0014208313077688217,,,,
98,,,,,0.00033538247225806117,0.058961234986782074,0.0016417221631854773,0.0016417221631854773,,,,
99,,,,,0.000441690266598016,0.0625859797000885,0.0017854946199804544,0.0017854946199804544,,,,
100,0.00014688388910144567,0.19302622973918915,0.0048990980722010136,0.0048990980722010136,0.0004931241855956614,0.054068539291620255,0.0015982754994183779,0.0015982754994183779,56.20462046204619,57.14285714285714,14.528937298318613,6.701220703125
101,,,,,0.00043946559890173376,0.05913228914141655,0.001698040054179728,0.001698040054179728,,,,
102,,,,,0.00041460461216047406,0.05361795425415039,0.0015477512497454882,0.0015477512497454882,,,,
103,,,,,0.00038992956979200244,0.051582857966423035,0.0014845362165942788,0.0014845362165942788,,,,
104,,,,,0.00040763040306046605,0.048299867659807205,0.0014113119104877114,0.0014113119104877114,,,,
105,,,,,0.0003415856626816094,0.035970814526081085,0.00107006321195513,0.00107006321195513,,,,
106,,,,,0.00036716612521559,0.04227570444345474,0.0012404756853356957,0.0012404756853356957,,,,
107,,,,,0.00031394907273352146,0.03924933820962906,0.0011382079683244228,0.0011382079683244228,,,,
108,,,,,0.0003551933914422989,0.03934965282678604,0.0011613380629569292,0.0011613380629569292,,,,
109,,,,,0.0003398314001969993,0.03920244053006172,0.0011499766260385513,0.0011499766260385513,,,,
110,0.0001222882274305448,0.12132919579744339,0.0030943744350224733,0.0030943744350224733,0.0003597583854570985,0.04504020884633064,0.0013058844488114119,0.0013058844488114119,66.20462046204621,67.14285714285715,10.49715921153193,4.822552420876243
111,,,,,0.0003427347692195326,0.05131232738494873,0.0014541754499077797,0.0014541754499077797,,,,
112,,,,,0.00032136772642843425,0.04912767559289932,0.0013888757675886154,0.0013888757675886154,,,,
113,,,,,0.00032112671760842204,0.05284241586923599,0.0014816238544881344,0.0014816238544881344,,,,
114,,,,,0.0003407648182474077,0.05096100643277168,0.0014444076223298907,0.0014444076223298907,,,,
115,,,,,0.0003524168860167265,0.05039473995566368,0.0014360769418999553,0.0014360769418999553,,,,
116,,,,,0.00032620306592434645,0.05205715447664261,0.0014645303599536419,0.0014645303599536419,,,,
117,,,,,0.0003307670122012496,0.049313224852085114,0.0013982141390442848,0.0013982141390442848,,,,
118,,,,,0.0003354802611283958,0.05237000808119774,0.0014769902918487787,0.0014769902918487787,,,,
119,,,,,0.00031600898364558816,0.05348384380340576,0.0014951005578041077,0.0014951005578041077,,,,
120,0.00010542293603066355,0.141130730509758,0.0035809800028800964,0.0035809800028800964,0.0003396896063350141,0.042151544243097305,0.0012236334150657058,0.0012236334150657058,51.762376237623755,52.85714285714286,15.25484964121943,4.909812291463216
121,,,,,0.0003621949872467667,0.04986952990293503,0.0014278357848525047,0.0014278357848525047,,,,
122,,,,,0.0003669461002573371,0.04260807856917381,0.0012486750492826104,0.0012486750492826104,,,,
123,,,,,0.00033997354330495,0.05009562522172928,0.001422377536073327,0.001422377536073327,,,,
124,,,,,0.0003685241099447012,0.049746494740247726,0.001427924376912415,0.001427924376912415,,,,
125,,,,,0.00031718879472464323,0.040962979197502136,0.0011826688423752785,0.0011826688423752785,,,,
126,,,,,0.00033511401852592826,0.039691224694252014,0.00115983746945858,0.00115983746945858,,,,
127,,,,,0.00033245564554817975,0.044891394674777985,0.001288512721657753,0.001288512721657753,,,,
128,,,,,0.00034364621387794614,0.040475234389305115,0.0011837040074169636,0.0011837040074169636,,,,
129,,,,,0.00034724417491815984,0.03815634921193123,0.0011275308206677437,0.0011275308206677437,,,,
130,0.00010743668099166825,0.10749223083257675,0.0027410241309553385,0.0027410241309553385,0.0002940705162473023,0.034357842057943344,0.0010059813503175974,0.0010059813503175974,55.52475247524752,58.57142857142856,19.869946023692254,4.035163879394531
131,,,,,0.0003074323758482933,0.05172806233167648,0.001446917769499123,0.001446917769499123,,,,
132,,,,,0.0003534433199092746,0.04760563373565674,0.0013668625615537167,0.0013668625615537167,,,,
133,,,,,0.00034973357105627656,0.04800253361463547,0.0013749300269410014,0.0013749300269410014,,,,
134,,,,,0.00031182606471702456,0.04324986785650253,0.0012371597113087773,0.0012371597113087773,,,,
135,,,,,0.00030641473131254315,0.04487905278801918,0.001275183749385178,0.001275183749385178,,,,
136,,,,,0.0003036178241018206,0.041621655225753784,0.0011923504061996937,0.0011923504061996937,,,,
